Drug Name,CAS,smiles,DockingScore
Levofloxacin,100986-85-4,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,-6.8
Cariprazine,839712-12-8,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,-6.8
"(4R)-4-[(3S,5S,8R,9S,10S,12R,13R,14S,17S)-3,12-Dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",-,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,-6.8
Fludrocortisone,127-31-1,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-6.8
Tenofovir alafenamide,383365-04-6,CC(C)OC(=O)C(C)NP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OC3=CC=CC=C3,-6.8
"Atracurium, (1R,2R,1'R,2'S)-(+/-)-",1599467-96-5,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,-6.8
Dehydroepiandrosterone,53-43-0,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,-6.8
(R)-Ranolazine,-,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,-6.8
Codeine,76-57-3,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-6.8
Dicloxacillin,3116-76-5,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4c(Cl)cccc4Cl,-6.8
Levonorgestrel oxime,53016-31-2,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=NO)CCC34,-6.8
Oxiconazole,64211-45-6,Clc1ccc(CO\N=C(/Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,-6.8
Naloxone,465-65-6,Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC=C,-6.8
(S)-Warfarin,5543-57-7,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,-6.8
Calcitriol,32222-06-3,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C,-6.8
Bedaquiline,654653-93-7,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O,-6.8
Cefuroxim,55268-75-2,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3,-6.8
Beclomethasone dipropionate,1327543,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC,-6.8
Buprenorphine,52485-79-7,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,-6.8
Fenofibrate,49562-28-9,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2,-6.8
Penicillin v,87-08-1,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,-6.8
Olanzapine,132539-06-1,CN1CCN(CC1)C2=C3C=C(C)SC3=Nc4ccccc4N2,-6.8
Levorphanol,77-07-6,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34,-6.8
Brilliant Green cation,18198-35-1,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3,-6.8
Bepotastine,125602-71-3,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O,-6.8
"Ondansetron, (3R)-",99614-60-5,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,-6.8
Hyoscine,51-34-3,[Br].CN1[C@H]2CC(C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,-6.8
Torsemide,56211-40-6,CC(C)NC(=O)N[S](=O)(=O)c1cnccc1Nc2cccc(C)c2,-6.8
"1-[(2s)-2-[(4-Chlorobenzyl)oxy]-2-(2,4-Dichlorophenyl)ethyl]-1h-Imidazole",73094-37-8,Clc1ccc(CO[C@H](Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,-6.8
Triclocarban,101-20-2,Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,-6.8
Diazepam,439-14-5,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-6.8
(S)-Doxapram,179915-80-1,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,-6.8
(R)-Citalopram,128196-02-1,CN(C)CCC[C@@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,-6.8
Lesinurad,878672-00-5,C1CC1C2=CC=C(C3=CC=CC=C23)N4C(=NN=C4Br)SCC(=O)O,-6.8
"(8R,9R,10R,13S,14R,17R)-13-Ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",6533-00-2,CC[C@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@H]1CC[C@@]2(O)C#C,-6.8
Sulisobenzone,4065-45-6,COc1cc(O)c(cc1[S](O)(=O)=O)C(=O)c2ccccc2,-6.8
Efavirenz,154598-52-4,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3,-6.8
(R)-Doxapram,179915-79-8,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,-6.8
Pentosan polysulfate,37300-21-3,C1C(C(C(C(O1)OC2COC(C(C2OS(=O)(=O)O)OS(=O)(=O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)O,-6.8
Protriptyline,438-60-8,CNCCCC1c2ccccc2C=Cc3ccccc13,-6.8
Tofacitinib,477600-75-2,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,-6.8
Methylene Blue cation,7060-82-4,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,-6.8
Fludarabine,21679-14-1,Nc1nc(F)nc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,-6.8
(R)-Fenoprofen,32953-79-0,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,-6.8
Lodoxamide,53882-12-5,OC(=O)C(=O)Nc1cc(cc(NC(=O)C(O)=O)c1Cl)C#N,-6.8
"Gabapentin enacarbil, (R)-",1174748-45-8,CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(=O)O,-6.8
Tamsulosin,106133-20-4,CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)[S](N)(=O)=O,-6.8
(R)-Mepivacaine,34811-66-0,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,-6.8
(S)-Propafenone,107381-32-8,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,-6.8
Zuclomiphene,15690-55-8,CCN(CC)CCOc1ccc(cc1)\C(=C(Cl)\c2ccccc2)c3ccccc3,-6.8
(R)-Butaconazole,151909-76-1,C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl,-6.8
(R)-Dobutamine,61661-05-0,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,-6.8
Brimonidine,59803-98-4,Brc1c(NC2=NCCN2)ccc3nccnc13,-6.8
Floxuridine,50-91-9,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(F)C(=O)NC2=O,-6.8
Osalmid,526-18-1,Oc1ccc(NC(=O)c2ccccc2O)cc1,-6.8
Cloperastine fendizoate,85187-37-7,C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.C1=CC=C(C=C1)C2=C(C=CC(=C2)C(=O)C3=CC=CC=C3C(=O)O)O,-6.8
Diphenidol hydrochloride,3254-89-5,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O.Cl,-6.8
Paramethasone acetate,1597-82-6,CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)COC(=O)C)O)C)O)C)F,-6.8
Pivmecillinam,32886-97-8,CC(C)(C)C(=O)OCOC(=O)C1N2[C@H](SC1(C)C)[C@H](N=CN3CCCCCC3)C2=O,-6.8
Fusafungine,1393-87-9,CC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,-6.8
Ethaverine,486-47-5,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,-6.8
Retinyl acetate,127-47-9,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C,-6.8
Diphenylpyraline,147-20-6,CN1CCC(CC1)OC(c2ccccc2)c3ccccc3,-6.8
Fenoterol hydrobromide,16409,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br,-6.8
Lercanidipine,100427-26-7,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(c3ccccc3)c4ccccc4)C,-6.8
Saxagliptin,361442-04-8,N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4.OC(=O)C(F)(F)F,-6.8
Alizapride,59338-93-1,COc1cc2n[nH]nc2cc1C(=O)NCC3CCCN3CC=C,-6.8
Dextran,9004-54-0,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-6.8
Fluocortolone caproate,303-40-2,CCCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)F)O)C)C,-6.8
Scopolamine hydrobromide,114-49-8,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4.Br,-6.8
Guaiazulene,489-84-9,CC(C)c1ccc(C)c2ccc(C)c2c1,-6.8
Cephapirin,21593-23-7,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,-6.8
Ofloxacin,82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,-6.8
Econazole,27220-47-9,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,-6.8
Labetalol hydrochloride,32780-64-6,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl,-6.8
Cyclobenzaprine hydrochloride,6202-23-9,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,-6.8
Anagrelide hydrochloride,58579-51-4,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3.Cl,-6.8
Zuclopenthixol decanoate,64053-00-5,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,-6.8
Diphenylpyraline hydrochloride,132-18-3,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,-6.8
Mebhydrolin,524-81-2,CN1CCc2n(Cc3ccccc3)c4ccccc4c2C1,-6.8
Nifurtoinol,1088-92-2,OCN1C(=O)CN(\N=C\c2oc(cc2)[N+]([O-])=O)C1=O,-6.8
Sulprostone,60325-46-4,C[S](=O)(=O)NC(=O)CCC\C=C/C[C@@H]1[C@@H](\C=C\[C@@H](O)COc2ccccc2)[C@H](O)CC1=O,-6.8
Probucol,23288-49-5,CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,-6.8
Flupentixol,2709-56-0,OCCN1CCN(CC\C=C/2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,-6.8
Benzydamine hydrochloride,132-69-4,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3.Cl,-6.8
Curcumin,458-37-7,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,-6.8
Sulfadimethoxine,122-11-2,COc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(OC)n1,-6.8
Melitracen hydrochloride,10563-70-9,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C.Cl,-6.8
Bromocresol green,76-60-8,CC1=C(C(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C(=C4C)Br)O)Br)Br)O)Br,-6.8
Asunaprevir,630420-16-5,CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC2(CC2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,-6.8
Eluxadoline,864821-90-9,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N,-6.8
Piperacetazine,3819-00-9,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCC(CCO)CC4)c2c1,-6.8
Scopolamine HBr,114-49-8,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4.Br,-6.8
Ambrisentan,177036-94-1,COC(C(Oc1nc(C)cc(C)n1)C(O)=O)(c2ccccc2)c3ccccc3,-6.8
Betamethasone,378-44-9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-6.8
Ramipril,87333-19-5,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(O)=O,-6.8
Trifluridine,70-00-8,OCC1OC(CC1O)N2C=C(C(=O)NC2=O)C(F)(F)F,-6.8
Cefditoren pivoxil,117467-28-4,CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,-6.8
Griseofulvin,126-07-8,COC1CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,-6.8
Riboflavin,83-88-5,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C,-6.8
Testosterone propionate,57-85-2,CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-6.8
Colchicine,64-86-8,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,-6.8
Protriptyline hydrochloride,1225-55-4,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,-6.8
Norethynodrel,68-23-5,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C,-6.8
Streptomycin,57-92-1,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C@]2(O)C=O)O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N,-6.7
Azithromycin,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,-6.7
Fluphenazine,69-23-8,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,-6.7
Eletriptan,143322-58-1,CN1CCC[C@@H]1Cc2c[nH]c3ccc(CC[S](=O)(=O)c4ccccc4)cc23,-6.7
Desoximetasone,382-67-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,-6.7
Trandolapril,87679-37-6,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(O)=O,-6.7
Unii-T58msi464G,56180-94-0,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,-6.7
Quinine,130-95-0,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,-6.7
Benazepril,86541-75-5,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(O)=O)C2=O,-6.7
Ampicillin,69-53-4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-6.7
Quetiapine,111974-69-7,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,-6.7
Prednicarbate,73771-04-7,CCOC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(=O)CC,-6.7
Naltrexone,16590-41-3,Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC6CC6,-6.7
Fluticasone propionate,80474-14-2,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,-6.7
Valbenazine,1025504-45-3,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C(C(C)C)N)OC)OC,-6.7
"(5S)-9-Chloro-5-(4-hydroxyphenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",85145-23-9,Oc1ccc(cc1)[C@@H]2CNCCc3c(Cl)c(O)c(O)cc23,-6.7
"Fenoldopam, (R)-",85145-24-0,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,-6.7
Panobinostat,404950-80-7,Cc1[nH]c2ccccc2c1CCNCc3ccc(\C=C\C(=O)NO)cc3,-6.7
Dilevalol,72487-32-2,C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(N)=O,-6.7
Mycophenolate mofetil,128794-94-5,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O,-6.7
"1-[(2r)-2-[(4-Chlorobenzyl)oxy]-2-(2,4-Dichlorophenyl)ethyl]-1h-Imidazole",73094-39-0,Clc1ccc(CO[C@@H](Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,-6.7
"(+)-5,6,7,8-Tetrahydro-6-(propyl(2-(2-thienyl)ethyl)amino)-1-naphthol",112835-48-0,CCCN(CCc1sccc1)C2CCc3c(O)cccc3C2,-6.7
Topiramate,97240-79-4,CC1(C)O[C@@H]2CO[C@@]3(CO[S](N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,-6.7
Aerovent,60205-81-4,CC(C)[N+]1(C)[C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3,-6.7
Sinequan,1668-19-5,[H+].[Cl-].CN(C)CC\C=C1/c2ccccc2COc3ccccc13,-6.7
(+)-Hyoscyamine,13269-35-7,CN1C2CCC1CC(C2)OC(=O)[C@@H](CO)c3ccccc3,-6.7
Nitazoxanide,55981-09-4,CC(=O)Oc1ccccc1C(=O)Nc2sc(cn2)[N+]([O-])=O,-6.7
Tenofovir disoproxil,201341-05-1,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,-6.7
Mometasone,105102-22-5,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl,-6.7
Toremifene,89778-26-7,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)c2ccccc2)c3ccccc3,-6.7
Anastrozole,120511-73-1,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,-6.7
Mefenamic acid,61-68-7,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,-6.7
Imipramine,50-49-7,CN(C)CCCN1c2ccccc2CCc3ccccc13,-6.7
Sulfisoxazole,127-69-5,Cc1noc(N[S](=O)(=O)c2ccc(N)cc2)c1C,-6.7
(S)-Tioconazole,-,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,-6.7
Levobunolol,47141-42-4,CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12,-6.7
(R)-Ketorolac,66635-93-6,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,-6.7
Tiagabine,115103-54-3,Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(O)=O)c3sccc3C,-6.7
(S)-Fenoprofen,33028-97-6,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,-6.7
Ramelteon,196597-26-9,CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12,-6.7
"(5E)-5-[(3Ar,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid",-,CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,-6.7
Clomiphene,15690-57-0,CCN(CC)CCOc1ccc(cc1)\C(=C(Cl)\c2ccccc2)c3ccccc3,-6.7
Ticlopidine,55142-85-3,[H+].[Cl-].Clc1ccccc1CN2CCc3sccc3C2,-6.7
Tolbutamide,64-77-7,CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1,-6.7
Chlorpropamide,94-20-2,CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,-6.7
Sulfisomidine,515-64-0,Cc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(C)n1,-6.7
Mequitazine,29216-28-2,C1CN2CCC1C(C2)CN3c4ccccc4Sc5ccccc35,-6.7
Phenylbutazone,50-33-9,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-6.7
Oxycodone hydrochloride,124-90-3,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O.Cl,-6.7
Oxethazaine,126-27-2,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc2ccccc2,-6.7
Inositol niacinate,1700877,C1=CC(=CN=C1)C(=O)OC2C(C(C(C(C2OC(=O)C3=CN=CC=C3)OC(=O)C4=CN=CC=C4)OC(=O)C5=CN=CC=C5)OC(=O)C6=CN=CC=C6)OC(=O)C7=CN=CC=C7,-6.7
Ethylmorphine hydrochloride,125-30-4,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1.Cl,-6.7
Chlorquinaldol,72-80-0,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,-6.7
Baricitinib,1187594-09-7,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,-6.7
Venlafaxine,93413-69-5,COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,-6.7
Imidapril hydrochloride,89396-94-1,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O.Cl,-6.7
Sertraline hydrochloride,79559-97-0,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,-6.7
Tolperisone hydrochloride,3644-61-9,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,-6.7
Cilazapril,88768-40-5,O.CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(O)=O,-6.7
Vortioxetine hydrobromide,960203-27-4,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C.Br,-6.7
Cephaloridine,50-59-9,[O-]C(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3sccc3)C(=O)N12)C[n+]4ccccc4,-6.7
Valganciclovir hydrochloride,175865-59-5,CC(C)C(C(=O)OCC(CO)OCN1C=NC2=C1N=C(NC2=O)N)N.Cl,-6.7
Temazepam,846-50-4,CN1C(=O)C(O)N=C(c2ccccc2)c3cc(Cl)ccc13,-6.7
Latamoxef,64952-97-2,CO[C@]1(NC(=O)C(C(O)=O)c2ccc(O)cc2)[C@H]3OCC(=C(N3C1=O)C(O)=O)CSc4nnnn4C,-6.7
Chondroitin sulfate,9007-28-7,CC(=O)NC1C(C(C(OC1O)OS(=O)(=O)O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O,-6.7
Tropicamide,1508-75-4,NC(=O)C(CO)c1ccccc1,-6.7
Levobunolol hydrochloride,27912-14-7,CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O.Cl,-6.7
Acebutolol hydrochloride,34381-68-5,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,-6.7
Tramazoline hydrochloride,3715-90-0,C1CCC2=C(C1)C=CC=C2NC3=NCCN3.Cl,-6.7
Cetraxate hydrochloride,27724-96-5,C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O.Cl,-6.7
Tolfenamic acid,13710-19-5,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,-6.7
alpha-Sulfobenzylpenicillin,41744-40-5,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)O)C(=O)O)C,-6.7
Cloperastine,3703-76-2,Clc1ccc(cc1)C(OCCN2CCCCC2)c3ccccc3,-6.7
Bupivacaine hydrochloride,18010-40-7,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,-6.7
Gentamicin,1403-66-3,CNC(C)C1CCC(N)C(O1)OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O,-6.7
Tamsulosin hydrochloride,106463-17-6,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N.Cl,-6.7
Nalmefene hydrochloride,58895-64-0,C=C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O.Cl,-6.7
Azithromycin A,76801-85-9,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,-6.7
Ruxolitinib (INCB-18424) phosphate,1092939-17-7,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3.OP(=O)(O)O,-6.7
