Ligand_Name,Best_Score,Second_Score,Third_Score
azithromycin_276,-16.171,-16.060,-16.001
azlocillin_277,-13.766,-13.394,-12.774
azosemide_278,-11.406,-11.241,-10.318
aztreonam_279,-11.581,-11.467,-11.213
bacampicillin_280,-13.786,-13.018,-12.390
baclofen_282,-8.492,-8.178,-7.409
bagrosin_3778,-12.591,-11.423,-11.367
baicalin_4055,-13.767,-13.607,-13.527
balofloxacin_283,-12.458,-11.992,-11.817
baloxavirmarboxil_5301,-16.157,-16.108,-15.367
balsalazide_284,-12.594,-12.386,-11.157
bambermycin_5603,7.433
bambuterol_285,-11.227,-11.098,-10.925
bamethan_286,-9.010,-8.590,-7.867
bamifylline_287,-12.237,-12.083,-11.839
bamipine_288,-12.046,-11.141,-10.886
barbital_289,-7.943,-7.587,-6.990
baricitinib_5202,-12.108,-11.682,-11.247
barnidipine_290,-15.086,-15.040,-14.715
bazedoxifene_4334,-16.783
beclabuvir_5215,-17.628,-17.006,-14.974
beclamide_291,-8.350,-7.375,-7.280
beclobrate_292,-12.883,-11.870,-11.658
beclometasonedipropionate_294,-17.048,-16.291,-15.769
bedaquiline_4741,-16.731,-16.487,-16.403
befunolol_295,-10.962,-10.672,-10.100
bekanamycin_1520,-12.652,-11.999,-11.898
belinostat_4876,-11.569,-11.071,-10.692
belotecan_296,-15.286,-15.194,-13.849
belumosudil_5467,-16.665,-16.310
belzutifan_5469,-12.132,-12.070,-11.848
bemegride_3013,-7.103,-6.913,-6.459
bemetizide_297,-12.068,-11.979,-11.891
bemotrizinol_3014,-14.490,-14.145,-13.121
bempedoicacid_5382,-12.361,-12.300,-10.224
benactyzine_298,-13.395,-12.074,-11.864
benazepril_299,-13.773,-13.605,-12.290
bencyclane_301,-12.723,-11.034,-10.808
bendamustine_302,-11.079,-10.878,-10.873
bendazac_303,-10.728,-10.588,-10.446
bendazol_304,-9.804,-9.456,-8.980
bendroflumethiazide_305,-13.614,-13.532,-13.356
benexate_3015,-15.191,-13.159,-12.796
benfluorex_307,-13.842,-13.801,-13.449
benfotiamine_308,-13.096,-13.056,-13.015
benidipine_3880,-16.119,-15.786,-15.770
benmoxin_3681,-10.154,-10.142,-9.972
benorilate_310,-11.701,-11.592,-11.496
benoxaprofen_311,-11.812,-11.242,-10.411
benperidol_312,-13.424,-12.793,-11.979
benproperine_5236,-12.836,-12.000,-11.859
benserazide_314,-9.464,-9.374,-8.786
bentazepam_315,-10.604,-10.586,-10.461
bentiromide_316,-14.153,-13.974,-13.960
benzalamide_3682,-8.294,-8.128,-7.585
benzalkonium_3017,-11.754,-11.094,-9.154
benzamidosalicylate_327,-10.721,-10.504,-9.663
benzarone_317,-11.415,-10.364,-10.274
benzatropine_333,-13.584,-13.282,-12.156
benzbromarone_318,-11.373,-11.141,-10.909
benzestrol_319,-12.674,-12.321,-11.468
benzethonium_3018,-15.270,-14.499,-13.796
benzilonium_320,-14.216,-13.302,-12.737
benziodarone_321,-10.973,-10.757,-10.598
benznidazole_322,-10.087,-9.394,-9.158
benzocaine_323,-7.367,-6.464,-6.334
benzoctamine_324,-11.910,-11.070,-10.738
benzoicacid_4664,-6.188,-6.059,-5.784
benzoin_4663,-9.567,-9.449,-8.901
benzomethamine_325,-13.012,-12.824,-12.734
benzoxoniumchloride_3019,-12.910,-12.863,-11.566
benzoylperoxide_328,-10.370,-10.355,-9.838
benzphetamine_329,-10.648,-10.404,-10.088
benzpiperylone_3685,-12.898,-12.823,-12.613
benzquercin_330,-17.529,-17.157,-17.037
benzquinamide_331,-12.130,-11.956,-11.936
benzthiazide_332,-12.963,-12.466,-12.213
benzydamine_3881,-12.606,-11.993,-11.168
benzylalcohol_334,-5.751,-5.697,-5.654
benzylbenzoate_335,-9.770,-9.365,-8.869
benzylhydrochlorothiazide_336,-11.948,-11.570,-11.388
benzylnicotinate_3379,-9.321,-8.635,-8.567
benzylpenicillin_2082,-11.573,-10.875,-10.850
benzylsulfamide_3686,-10.316,-9.982,-9.276
benzylthiouracil_339,-9.307,-8.217,-7.923
bephenium_340,-10.924,-10.810,-10.050
bepotastine_341,-13.645,-13.083,-12.403
bepridil_342,-13.441,-13.334,-13.242
beraprost_343,-14.840,-13.554,-13.046
bergapten_3021,-9.135,-8.310,-7.884
bermoprofen_3022,-11.867,-11.535,-11.322
berotralstat_5430,-16.222,-14.607,-13.680
besifloxacin_4111,-12.228,-11.843,-11.819
beta-Ergocryptine_3183,-17.803,-16.761,-15.276
beta-aminopropionitrile_5607,-3.332,-3.175,-3.155
betacarotene_345,-12.450,-12.318,-12.276
betadex_2971,-14.737,-14.723,-14.716
betahistine_346,-6.199,-6.112,-5.770
betaine_347,-4.410,-4.222,-3.786
betamethasone_348,-14.270,-13.993,-13.582
betamethasoneacetate_349,-15.290,-14.617,-14.322
betamethasoneacibutate_350,-16.464,-16.324,-15.858
betamethasonebenzoate_351,-17.112,-16.889,-16.290
betamethasonebutyratepropionate_352,-16.038,-15.751,-15.606
betamethasonedipropionate_353,-16.946,-16.200,-15.985
betamethasonephosphate_4667,-15.748,-15.088,-14.920
betamethasonevalerate_354,-16.767,-16.179,-16.142
betamipron_355,-8.428,-7.545,-7.462
betanaphthol_3370,-7.617,-7.608,-6.862
betanidine_359,-7.991,-6.895,-6.842
betaxolol_356,-10.215,-9.612,-9.558
betazole_357,-4.765,-4.670,-4.485
bethanechol_358,-5.659,-5.569,-5.421
betiatide_4666,-11.069,-9.402,-8.925
betoxycaine_3023,-11.141,-10.928,-10.927
betrixaban_5241,-14.601,-14.427,-13.867
bevantolol_360,-12.077,-10.542,-9.408
bevonium_3024,-13.073,-12.867,-12.688
bexarotene_361,-14.266,-13.802,-13.475
bezafibrate_362,-12.852,-12.439,-12.255
bezitramide_363,-16.769,-15.386
bialamicol_364,-14.354,-11.511,-11.362
biapenem_365,-10.313,-10.135,-10.123
bibenzonium_366,-12.686,-11.045,-11.031
bicalutamide_367,-14.991,-14.430,-14.272
bictegravir_5274,-15.554,-15.017,-14.213
bidisomide_368,-12.942,-12.704,-12.667
