Ligand_Name,Best_Score,Second_Score,Third_Score
digitoxin_881,-16.696,-16.443,-15.940
lercanidipine_4157,-16.695,-14.939,-14.732
sulfamazone_2509,-16.686,-16.046,-14.035
paritaprevir_4913,-16.682,-16.189,-15.734
belumosudil_5467,-16.665,-16.310
elagolix_5293,-16.661,-14.843,-14.761
SpiramycinII_2472,-16.649,-16.480,-14.630
lumacaftor_5010,-16.647,-15.785,-15.164
zorubicin_2874,-16.647,-14.533,-14.386
cymarin_4408,-16.644,-16.485,-16.256
bisoctrizole_3031,-16.643,-15.979,-15.638
atosiban_3008,-16.635,-16.168,-16.064
voxilaprevir_5242,-16.625,-16.378,-16.043
anidulafungin_4357,-16.622,-14.850
dexamethasoneacefurate_825,-16.615,-16.576,-16.490
pranlukast_2237,-16.608,-16.305
eptifibatide_1040,-16.593,-16.365,-15.885
eldecalcitol_5169,-16.587,-16.369,-14.733
abemaciclib_5259,-16.586,-15.904
clocapramine_687,-16.585,-16.118,-15.561
gilteritinib_5306,-16.583
somatostatin_2997,-16.573,-13.761
oftasceine_4639,-16.570,-16.280,-14.823
vancomycin_2807,-16.562
dirlotapide_5527,-16.561,-15.941,-15.627
fluocinonide_1205,-16.559,-15.508,-15.488
rocuronium_2396,-16.540,-15.890,-14.901
lumefantrine_1617,-16.533,-15.152,-15.006
cefterampivoxil_560,-16.527
mosapramine_1847,-16.526,-15.676,-15.459
erythromycinpropionate_1052,-16.524,-16.380,-16.173
tulathromycin_5640,-16.524,-16.238,-16.148
pentagastrin_2088,-16.519,-15.859,-15.057
clinofibrate_680,-16.513,-16.365,-16.198
halopredoneacetate_1354,-16.513,-15.295,-15.283
avatrombopag_5285,-16.510,-13.557
pasireotide_4329,-16.508,-15.744,-15.560
cefpimizole_3075,-16.471,-14.256,-14.205
betamethasoneacibutate_350,-16.464,-16.324,-15.858
bietaserpine_3687,-16.459,-15.897,-15.341
idarubicin_1414,-16.458,-15.158,-15.107
adapalene_87,-16.455,-16.096,-15.501
evansblue_3217,-16.452,-16.080,-16.056
hydroxyprogesteronecaproate_4189,-16.451,-15.205,-15.158
prednisolamate_3820,-16.443,-15.407,-15.316
hydrocortamate_1387,-16.429,-15.320,-13.900
zanubrutinib_5353,-16.427,-15.479,-15.065
tigilanoltiglate_5651,-16.425,-16.243,-16.032
aclidiniumbromide_4484,-16.422,-16.173,-13.852
linaclotide_4622,-16.413,-15.983,-15.605
buclizine_416,-16.412,-15.406,-14.998
deserpidine_810,-16.407,-15.768,-14.490
pentagestroneacetate_2089,-16.403,-15.767,-15.446
pyronaridine_4339,-16.401,-16.191,-16.125
sulprostone_2538,-16.387,-15.984
ulipristal_4166,-16.387,-16.247,-15.986
telmisartan_2583,-16.382,-13.864,-13.814
pimecrolimus_2168,-16.379,-16.315,-15.861
dalbavancin_777,-16.367
neratinib_5252,-16.365,-13.772
fluticasonepropionate_1225,-16.358,-15.580,-15.407
carubicin_510,-16.356,-15.485,-14.811
methylprednisolonesuccinate_1771,-16.352,-15.742,-15.649
mydecamycin_1861,-16.343,-15.932,-15.883
doxorubicin_960,-16.331,-16.060,-15.029
omadacycline_5299,-16.329,-16.117,-14.100
erythromycinacistrate_1049,-16.323,-15.971,-15.846
telavancin_4116,-16.321
epirubicin_1030,-16.309,-16.071,-15.022
nandrolonephenpropionate_1882,-16.300,-16.263,-15.911
tepotinib_5424,-16.292,-15.305
pemafibrate_5248,-16.277,-15.919,-13.789
fluprostenol_5546,-16.263,-15.829
protoverine_2319,-16.262,-16.241,-15.937
prednival_3488,-16.257,-15.362,-15.317
cefcapenepivoxil_532,-16.250,-13.820
hydrocortisonevalerate_4504,-16.250,-15.373,-15.314
clobetasonebutyrate_3911,-16.249,-15.810,-15.723
bitolterol_384,-16.243,-15.448,-15.206
tobuterol_2685,-16.240,-16.202
maralixibathydrochloride_5473,-16.237,-16.031,-15.522
rimegepant_5381,-16.236,-15.625,-14.610
carbifene_3700,-16.232,-16.043,-15.784
ripretinib_5394,-16.223,-16.008,-14.621
berotralstat_5430,-16.222,-14.607,-13.680
eritoran_1044,-16.220
talaporfin_2555,-16.220,-16.004,-15.613
gossypol_1328,-16.217,-15.785,-14.895
daunorubicinol_4719,-16.200,-15.694,-13.416
ticagrelor_4184,-16.199,-14.599,-14.254
loteprednoletabonate_1611,-16.191,-14.820,-14.402
carpipramine_517,-16.190,-16.124,-15.686
imatinib_1423,-16.186,-15.632
oxabolonecipionate_4681,-16.186,-15.872,-15.527
daunorubicin_786,-16.185,-15.673,-13.393
amenamevir_5266,-16.182,-14.195,-13.373
bosentan_392,-16.173,-15.851,-15.846
azithromycin_276,-16.171,-16.060,-16.001
chlorbenzoxamine_3090,-16.170,-15.588,-15.462
perflunafene_2103,-16.170,-16.155,-16.075
estradiolmustard_1062,-16.165,-14.504,-14.446
fluralaner_5547,-16.164,-15.749,-14.959
baloxavirmarboxil_5301,-16.157,-16.108,-15.367
zafirlukast_2855,-16.155,-14.694,-13.737
tucatinib_5389,-16.154,-15.892,-14.241
cisatracurium_661,-16.152,-16.017,-15.461
